[2025-08-04 23:30:53,320] 15 root - INFO - enter try block
[2025-08-04 23:30:57,034] 65 root - INFO - Performed train test split on dataframe
[2025-08-04 23:30:57,034] 67 root - INFO - Exited split_data_as_train_test method od data ingestion class
[2025-08-04 23:30:57,076] 72 root - INFO - Exporting train and test file path
[2025-08-04 23:30:57,705] 45 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-08-04 23:30:57,728] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-08-04 23:30:57,733] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-08-04 23:30:57,736] 26 root - INFO - data Transformation completed
[2025-08-04 23:30:57,736] 28 root - INFO - Model Training sstared
[2025-08-04 23:36:29,894] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-08-04 23:36:29,895] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-08-04 23:36:29,895] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-08-04 23:36:29,901] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-08-04 23:36:29,901] 149 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\08_04_2025_23_30_51\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9913070001525087, precision_score=0.9901492840459023, recall_score=0.9924674267100977), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9845412567757479, precision_score=0.9843436370935368, recall_score=0.9847389558232932))
[2025-08-04 23:36:29,902] 33 root - INFO - Model Training artifact created
